imdb_id,star,genre,runtime,user,critc,dir_popu,ac1_popu,ac2_popu,ac3_popu,total_box_office,n_of_posters,opening_box_office,year,budget_mixed
tt0324133,6.8,Crime,102,292,165,1.283671,5.771839,3.217244,2.010849,24021282,14,10019,2003,7800000
tt0314676,5.6,Comedy,109,81,63,1.502938,16.893867,7.315426,5.186713,524747,9,28324,2003,8000000
tt0289043,7.6,Drama,113,"1,451",237,1.571111,6.999314,4.758972,4.01751,82955633,62,10061858,2003,8000000
tt0290879,6.6,Action,185,48,30,1.000039,1.00324,1.449701,1.074796,454255,9,45904,2003,9000000
tt0323572,4.8,Comedy,80,41,31,1.133635,1.014847,4.843459,4.499669,12657377,7,2404557,2003,9000000
tt0324216,6.2,Horror,98,738,241,1.304482,4.336919,1.996885,1.000001,107967319,29,28094014,2003,9000000
tt1452628,4.9,Horror,92,159,141,1.4,3.475599,10.288366,5.637282,15629,17,6354,2003,10000000
tt0285861,7.1,Crime,104,85,74,1.036,5.405763,5.222092,9.353647,1011054,9,33287,2003,10000000
tt0145487,7.3,Action,121,"2,049",302,2.809565,4.54697,6.543151,8.222263,1641788,51,114844116,2003,10000000
tt0301199,7.4,Crime,97,225,140,2.181253,3.956673,4.457591,2.11087,14156753,16,100512,2003,10000000
